position,step,reg_gradient,preclip_total,reg_to_total,added_increment,changed_elements,native_gradient,fit_gradient,H_gradient,U_gradient,x_component_gradient,y_component_gradient,scale_relative,input_centered_to_ridge,patch_centered_to_ridge,final_centered_to_ridge,input_offdiag_mean,patch_offdiag_mean,final_offdiag_mean
13,320,1.4895723153283126e-05,0.0036890986375510693,0.00403776765458658,1.4895726927048843e-05,73721,0.04702848196029663,0.0021294669713824987,0.04651682823896408,0.008826570585370064,7.526593582561743e-06,1.6032477587959257e-06,0.00025038755808280976,0.22892971423403993,0.016858363139124706,0.46077956404989556,0.9999973374955513,0.9999996934904657,0.9999921877201985
14,1,2.1255809208208946e-06,4.847376823425293,4.38501275689745e-07,2.1276090635947155e-06,63244,0.0006012989324517548,0.0007559761870652437,4.727051258087158,0.3383735716342926,3.033634662968282e-06,3.287146566957122e-06,0.0012208048358029425,0.38375144913507697,0.015294011984487559,0.568393596521092,0.9999955369027314,0.999999723197395,0.9999910033873509
14,80,4.3750090042346185e-06,0.05112553387880325,8.557385463408346e-05,4.375022306316758e-06,73691,0.29072192311286926,0.011233986355364323,0.3273012936115265,0.0037917254958301783,2.5929923398251717e-06,3.0328047061727176e-06,0.0004583994628838114,0.38375144913507697,0.016058670193762337,0.5711883325506363,0.9999955369027314,0.9999997052980781,0.9999909557088998
14,160,4.60619928144991e-06,0.008140308782458305,0.0005658506826394461,4.606207010665179e-06,73715,0.053155455738306046,0.0035735564306378365,0.05748477578163147,0.0012822458520531654,2.7412584317431537e-06,3.3282601296532675e-06,0.0004624475117860668,0.38375144913507697,0.01609565152514214,0.5712422092253517,0.9999955369027314,0.9999997045422756,0.9999909553654995
14,320,4.581372016147833e-06,0.003434171434491873,0.0013340545466466213,4.5813740966482215e-06,73722,0.019133538007736206,0.0016240333206951618,0.021259211003780365,0.0007212309283204377,2.9820990183099635e-06,3.6670573105582438e-06,0.0004517719169070908,0.38375144913507697,0.016042438965643214,0.5712484505043678,0.9999955369027314,0.9999997052849867,0.9999909562191363
15,1,1.98964283789678e-06,4.8546977043151855,4.098386674268616e-07,1.9956231947268988e-06,64003,0.0008267918601632118,0.0014110659249126911,4.7342352867126465,0.3171888589859009,3.919134350569215e-06,3.1386766752667683e-06,0.0013909840446294504,0.35601401810643124,0.015214011372001176,0.5441743932985047,0.999995859492644,0.9999997210226597,0.9999912098175326
15,80,5.596856520112809e-06,0.0682959333062172,8.19500700725223e-05,5.596851001744063e-06,73694,0.18096572160720825,0.01895497925579548,0.17978793382644653,0.09293090552091599,3.940240991682763e-06,2.93379117295788e-06,0.0007382148599465617,0.35601401810643124,0.01566963724101369,0.5445650596602364,0.999995859492644,0.9999997030429534,0.9999912026724195
15,160,6.314659455437219e-06,0.008322445675730705,0.0007587504564735769,6.314655463435373e-06,73719,0.028707455843687057,0.003393925493583083,0.03727634251117706,0.010263163596391678,4.343722460250034e-06,3.0230930597858096e-06,0.0005431038651544451,0.35601401810643124,0.015746443174297988,0.5440966330000246,0.999995859492644,0.9999996995995734,0.9999912139814259
15,320,6.380073374938258e-06,0.0031550214625895023,0.0020221965050284557,6.380073345753671e-06,73720,0.010019265115261078,0.000819902925286442,0.012771771289408207,0.0018856775714084506,4.626862777272702e-06,3.1162191714183543e-06,0.0006380168519162955,0.35601401810643124,0.015733212973163973,0.5439247976053325,0.999995859492644,0.9999996994941459,0.9999912178439516
16,1,2.889819193912578e-06,5.616074085235596,5.145621567759909e-07,2.893762793842761e-06,64307,0.0006989612011238933,0.000920437800232321,5.483565330505371,0.43264010548591614,3.5676322545221135e-06,3.5549709790556604e-06,0.0005364861939302302,0.2322608478610399,0.014359347486142364,0.45617469396234567,0.9999972987521485,0.9999997351298098,0.9999923038770814
