subset,stratum,method,mode,metric,subtype,score,edits,probes,edit_macro,probe_micro,ci_low,ci_high,activation,cap_hits,status,definition
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Portability,1-hop,target_or_source_semantic,73,73,0.2876712328767123,0.2876712328767123,0.1917808219178082,0.3972602739726027,0,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Portability,2-hop,literal,24,24,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Portability,2-hop,target_or_source_semantic,24,24,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5416666666666666,0,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Portability,3-hop,literal,2,2,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Portability,3-hop,target_or_source_semantic,2,2,0.0,0.0,0.0,0.0,0,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Reliability,ALL,literal,200,200,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Reliability,ALL,target_or_source_semantic,200,200,0.015,0.015,0.0,0.035,0,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Robustness,伪权威干扰,literal,23,23,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Robustness,伪权威干扰,target_or_source_semantic,23,23,0.17391304347826086,0.17391304347826086,0.043478260869565216,0.34782608695652173,0,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Robustness,无关临床细节,literal,28,28,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
